"isolate_id","collection_year"
"04013226_2_flA8",2002
"04013226_2_flA9",2002
"04013226_2_flB10",2002
"04013226_2_flC1",2002
"04013226_2_flD12",2002
"04013226_2_flD7",2002
"04013226_2_flH11",2002
"04013226_2_flH5",2002
"04013226_2_flH6",2002
"04013396_0_flE6",2005
"04013396_0_flF3",2005
"04013396_0_flF4",2005
"04013396_0_flG7",2005
"04013396_0_flG8",2005
"1006F",2007
"1006M",2007
"1006M",2008
"1006M",2009
700010470,2008
700010607,2008
702010141,2007
702010293,2008
702010440,2008
703010131,2007
703010167,2007
703010200,2007
703010200,2008
703010200,2009
703010228,2007
703010269,2008
704010042,2007
705010067,2007
705010162,2007
705010185,2007
705010198,2007
706010164,2007
"CH040",2006
"CH1064",2009
"CH1064_SGA.1A12",2009
"CH1064_SGA.1A3",2009
"CH1064_SGA.1A5",2009
"CH1064_SGA.1B10",2009
"CH1064_SGA.1C10",2009
"CH1064_SGA.1C5",2009
"CH1064_SGA.1D8",2009
"CH1064_SGA.1E6",2009
"CH1064_SGA.1F10",2009
"CH1064_SGA.1F11",2009
"CH1064_SGA.1G3",2009
"CH1064_SGA.1H11",2009
"CH1064_SGA.1H4",2009
"CH1064_SGA.1H5",2009
"CH1064_SGA.1H8",2009
"CH1064_SGA.2A1",2009
"CH1064_SGA.2A10",2009
"CH1064_SGA.2A11",2009
"CH1064_SGA.2A4",2009
"CH1064_SGA.2A7",2009
"CH1064_SGA.2B2",2009
"CH1064_SGA.2B3",2009
"CH1064_SGA.2B5",2009
"CH1064_SGA.2B7",2009
"CH1064_SGA.2C4",2009
"CH1064_SGA.2C6",2009
"CH1064_SGA.2C8",2009
"CH1064_SGA.2D2",2009
"CH1064_SGA.2D5",2009
"CH1064_SGA.2E6",2009
"CH1064_SGA.2F10",2009
"CH1064_SGA.2F12",2009
"CH1064_SGA.2F4",2009
"CH1064_SGA.2F8",2009
"CH1064_SGA.2G5",2009
"CH1064_SGA.2G7",2009
"CH1064_SGA.2G8",2009
"CH1064_SGA.2H10",2009
"CH1064_SGA.2H11",2009
"CH1064_SGA.2H6",2009
"CH1064_SGA.2H7",2009
"CH148",2006
"CH148_SGA.5.01",2006
"CH148_SGA.5.03",2006
"CH148_SGA.5.04",2006
"CH148_SGA.5.06",2006
"CH148_SGA.5.07",2006
"CH148_SGA.5.08",2006
"CH148_SGA.5.10",2006
"CH148_SGA.5.11",2006
"CH148_SGA.5.13",2006
"CH148_SGA.5.15",2006
"CH148_SGA.5.16",2006
"CH148_SGA.5.17",2006
"CH148_SGA.5.18",2006
"CH148_SGA.5.19",2006
"CH148_SGA.5.20",2006
"CH148_SGA.5.22",2006
"CH148_SGA.5.24",2006
"CH148_SGA.5.25",2006
"CH148_SGA.5.26",2006
"CH148_SGA.5.27",2006
"CH148_SGA.5.28",2006
"CH148_SGA.5.30",2006
"CH148_SGA.5.31",2006
"CH148_SGA.5.33",2006
"CH148_SGA.5.37",2006
"CH148_SGA.5.38",2006
"CH148_SGA.5.40",2006
"CH162",2007
"CH212",2007
"CH212_SGA.1A9",2007
"CH212_SGA.1B10",2007
"CH212_SGA.1B11",2007
"CH212_SGA.1B2",2007
"CH212_SGA.1C6",2007
"CH212_SGA.1D1",2007
"CH212_SGA.1D6",2007
"CH212_SGA.1E2",2007
"CH212_SGA.1E3",2007
"CH212_SGA.1E9",2007
"CH212_SGA.1F12",2007
"CH212_SGA.1G8",2007
"CH212_SGA.1H5",2007
"CH212_SGA.1H7",2007
"CH212_SGA.1H9",2007
"CH212_SGA.2A10",2007
"CH212_SGA.2A11",2007
"CH212_SGA.2B6",2007
"CH212_SGA.2B7",2007
"CH212_SGA.2B8",2007
"CH212_SGA.2D1",2007
"CH212_SGA.2D5",2007
"CH212_SGA.2D6",2007
"CH212_SGA.2D8",2007
"CH212_SGA.2E10",2007
"CH212_SGA.2F10",2007
"CH212_SGA.2F11",2007
"CH212_SGA.2F2",2007
"CH212_SGA.2F3",2007
"CH212_SGA.2G1",2007
"CH212_SGA.2G2",2007
"CH212_SGA.2G5",2007
"CH212_SGA.2H9",2007
"CH302",2008
"CH302_SGA.5.01",2008
"CH302_SGA.5.04",2008
"CH302_SGA.5.05",2008
"CH302_SGA.5.06",2008
"CH302_SGA.5.08",2008
"CH302_SGA.5.09",2008
"CH302_SGA.5.12",2008
"CH302_SGA.5.13",2008
"CH302_SGA.5.14",2008
"CH302_SGA.5.15",2008
"CH302_SGA.5.16",2008
"CH302_SGA.5.17",2008
"CH302_SGA.5.18",2008
"CH302_SGA.5.19",2008
"CH302_SGA.5.20",2008
"CH302_SGA.5.21",2008
"CH302_SGA.5.23",2008
"CH302_SGA.5.24",2008
"CH378",2008
"CH378_SGA.1A3",2008
"CH378_SGA.1A4",2008
"CH378_SGA.1B2",2008
"CH378_SGA.1C4",2008
"CH378_SGA.1D1",2008
"CH378_SGA.1D2",2008
"CH378_SGA.1D6",2008
"CH378_SGA.1F4",2008
"CH378_SGA.1F5",2008
"CH378_SGA.1F8",2008
"CH378_SGA.1G11",2008
"CH378_SGA.1G2",2008
"CH378_SGA.1H4",2008
"CH378_SGA.1H9",2008
"CH378_SGA.2B11",2008
"CH378_SGA.2C10",2008
"CH378_SGA.2C4",2008
"CH378_SGA.2D12",2008
"CH378_SGA.2D5",2008
"CH378_SGA.2E11",2008
"CH378_SGA.2E6",2008
"CH378_SGA.2F11",2008
"CH378_SGA.2F3",2008
"CH378_SGA.2F4",2008
"CH378_SGA.2G8",2008
"CH378_SGA.2H10",2008
"CH378_SGA.2H11",2008
"CH378_SGA.2H5",2008
"CH378_SGA.2H7",2008
"CH378_SGA.2H9",2008
"CH40d111_C1",2006
"CH40d111_C2",2006
"CH40d111_D1",2006
"CH40d111_D2",2006
"CH40d111_D3",2006
"CH40d111_D4",2006
"CH40d111_D5",2006
"CH40d111_D6",2006
"CH40d111_D7",2006
"CH40d111_G1",2006
"CH40d111_G3",2006
"CH40d111_G4",2006
"CH40d111_G7",2006
"CH40d111_G8",2006
"CH40d111_H2",2006
"CH40d111_I1",2006
